repeat,severity,classifier,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
1,0.1,logistic,overlap,0.12408610371705266,0.005,1.0,176.7033135509699,175.8286675923134,0.2499998729246119,0.2499979259434415
1,0.1,random_forest,unweighted,0.1377211905578418,0.005,1.0,180.0,180.0,1.0,1.0
1,0.1,random_forest,source,0.12376402307104092,0.005,1.0,148.31990429027437,180.0,1.7154638231218364,1.0
1,0.1,random_forest,target,0.10204715597011318,0.08,0.0,180.0,148.19553649167153,1.0,1.5624058835210597
1,0.1,random_forest,both,0.0854222670171468,0.58,0.0,148.31990429027437,148.19553649167153,1.7154638231218364,1.5624058835210597
1,0.1,random_forest,crump,0.09133665438098754,0.275,0.0,152.0,155.0,1.0,1.0
1,0.1,random_forest,overlap,0.09028874841354853,0.405,0.0,151.89388201853353,155.37163550316725,0.2499983340603054,0.24999978839461579
1,0.1,hist_gbm,unweighted,0.1377211905578418,0.005,1.0,180.0,180.0,1.0,1.0
1,0.1,hist_gbm,source,0.12166759104368222,0.005,1.0,139.2606361275456,180.0,2.6116947654105886,1.0
1,0.1,hist_gbm,target,0.10592906046551445,0.03,1.0,180.0,143.98452916873146,1.0,2.667093768617549
1,0.1,hist_gbm,both,0.08887532373651771,0.435,0.0,139.2606361275456,143.98452916873146,2.6116947654105886,2.667093768617549
1,0.1,hist_gbm,crump,0.08854711216098791,0.38,0.0,149.0,151.0,1.0,1.0
1,0.1,hist_gbm,overlap,0.10258151268676126,0.07,0.0,157.264862988966,161.78417487202194,0.24999751273151086,0.24999751273151086
1,0.2,logistic,unweighted,0.16830928212162782,0.005,1.0,180.0,180.0,1.0,1.0
1,0.2,logistic,source,0.13742114008454964,0.005,1.0,145.49569797540073,180.0,2.1763738045220062,1.0
1,0.2,logistic,target,0.11492512197677941,0.01,1.0,180.0,143.53826969632152,1.0,2.1491156665576776
1,0.2,logistic,both,0.08210148489991263,0.725,0.0,145.49569797540073,143.53826969632152,2.1763738045220062,2.1491156665576776
1,0.2,logistic,crump,0.1551385581779796,0.005,1.0,177.0,168.0,1.0,1.0
