repeat,effect_size,severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
8,0.15,0.25,source,0.14863477617403761,0.002,1.0,136.2859563127717,180.0,2.195935534678084,1.0
8,0.15,0.25,target,0.13251286943679438,0.002,1.0,180.0,137.0131619290751,1.0,2.422265838084075
8,0.15,0.25,both,0.0892981197459094,0.352,0.0,136.2859563127717,137.0131619290751,2.195935534678084,2.422265838084075
8,0.15,0.25,crump,0.1646822231880914,0.002,1.0,163.0,159.0,1.0,1.0
8,0.3,0.25,unweighted,0.19673330094497787,0.002,1.0,180.0,180.0,1.0,1.0
8,0.3,0.25,source,0.1566498220616322,0.002,1.0,136.2859563127717,180.0,2.195935534678084,1.0
8,0.3,0.25,target,0.14312505973196443,0.002,1.0,180.0,137.0131619290751,1.0,2.422265838084075
8,0.3,0.25,both,0.09825532828951987,0.148,0.0,136.2859563127717,137.0131619290751,2.195935534678084,2.422265838084075
8,0.3,0.25,crump,0.17450852339121714,0.002,1.0,163.0,159.0,1.0,1.0
8,0.45,0.25,unweighted,0.2049915742645938,0.002,1.0,180.0,180.0,1.0,1.0
8,0.45,0.25,source,0.16502485702099018,0.002,1.0,136.2859563127717,180.0,2.195935534678084,1.0
8,0.45,0.25,target,0.15315212526689495,0.002,1.0,180.0,137.0131619290751,1.0,2.422265838084075
