severity,classifier,mode,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0.4,logistic,both,40,0.08230843765816184,0.590625,0.0,118.57596543292865,118.26171835698156,2.5893971292391917,2.6534214216745093
0.4,logistic,crump,40,0.1435383732067508,0.010875000000000003,0.95,132.675,132.625,1.0,1.0
0.4,logistic,overlap,40,0.15006435292099468,0.005000000000000003,1.0,149.239225398155,149.04849042593997,0.2499936207062011,0.24998821449806236
0.4,logistic,source,40,0.1725343380012679,0.005000000000000003,1.0,118.57596543292865,180.0,2.5893971292391917,1.0
0.4,logistic,target,40,0.1359022889379416,0.005000000000000003,1.0,180.0,118.26171835698156,1.0,2.6534214216745093
0.4,logistic,unweighted,40,0.21327584116845752,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
0.4,random_forest,both,40,0.08963317950627489,0.4133750000000001,0.0,104.79858703578198,103.67487311265604,2.391509375971797,2.425146852249081
0.4,random_forest,crump,40,0.09065076144169003,0.37212499999999993,0.05,109.6,108.15,1.0,1.0
0.4,random_forest,overlap,40,0.0904849800525617,0.379625,0.0,110.01649519478403,108.27988320793536,0.24999796749955774,0.24999577827238123
0.4,random_forest,source,40,0.18312844010978266,0.005000000000000003,1.0,104.79858703578198,180.0,2.391509375971797,1.0
0.4,random_forest,target,40,0.13816670944422038,0.005625000000000003,1.0,180.0,103.67487311265604,1.0,2.425146852249081
0.4,random_forest,unweighted,40,0.21327584116845752,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
