repeat,experiment,lambda_value,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
17,calibration,0.5,both,0.07795077046087752,0.74,0.0,149.21254712466222,150.53851892078936,2.007285132845667,1.8848541581851896
17,calibration,0.75,both,0.10672763081938749,0.026,1.0,166.39706614386228,166.72535162168347,1.455513299825108,1.418147472297616
17,calibration,1.0,both,0.15762539151806126,0.002,1.0,180.0,180.0,1.0,1.0
17,power,-1.0,unweighted,0.17870475918305137,0.002,1.0,180.0,180.0,1.0,1.0
17,power,0.0,both,0.04988285939397813,0.994,0.0,102.7268854864126,112.30413642192315,5.461865466964621,4.0111534968834315
17,power,0.25,both,0.07263434471257552,0.846,0.0,130.31347182059045,133.6475914957075,2.942172073909502,2.584271157288856
17,power,0.5,both,0.09682538260652476,0.134,0.0,149.21254712466222,150.53851892078936,2.007285132845667,1.8848541581851896
17,power,0.75,both,0.12755450784711742,0.002,1.0,166.39706614386228,166.72535162168347,1.455513299825108,1.418147472297616
17,power,1.0,both,0.17870475918305134,0.002,1.0,180.0,180.0,1.0,1.0
18,calibration,-1.0,unweighted,0.18846048430117363,0.002,1.0,180.0,180.0,1.0,1.0
18,calibration,0.0,both,0.03434662825650173,1.0,0.0,78.025507807596,80.1893423685884,7.580424521017304,8.128994712571892
18,calibration,0.25,both,0.05878948358513781,0.984,0.0,110.87706816593472,114.22218958077254,3.5758262488837507,3.6550585250272665
18,calibration,0.5,both,0.0834878627691032,0.546,0.0,131.77622856306402,134.1394139182647,2.3455608170720508,2.3539716148285565
18,calibration,0.75,both,0.11583940132784087,0.008,1.0,152.08586494890528,153.62532377074098,1.6500446084610383,1.6418665581659013
18,calibration,1.0,both,0.18846048430117363,0.002,1.0,180.0,180.0,1.0,1.0
18,power,-1.0,unweighted,0.2113850984987045,0.002,1.0,180.0,180.0,1.0,1.0
18,power,0.0,both,0.04964778371381669,0.994,0.0,78.025507807596,80.1893423685884,7.580424521017304,8.128994712571892
18,power,0.25,both,0.08066055805011071,0.634,0.0,110.87706816593472,114.22218958077254,3.5758262488837507,3.6550585250272665
18,power,0.5,both,0.10913430698199711,0.022,1.0,131.77622856306402,134.1394139182647,2.3455608170720508,2.3539716148285565
18,power,0.75,both,0.14323136277311488,0.002,1.0,152.08586494890528,153.62532377074098,1.6500446084610383,1.6418665581659013
18,power,1.0,both,0.2113850984987045,0.002,1.0,180.0,180.0,1.0,1.0
19,calibration,-1.0,unweighted,0.18428635021338213,0.002,1.0,180.0,180.0,1.0,1.0
19,calibration,0.0,both,0.0469213371436803,1.0,0.0,97.85635447520615,99.23075464292523,5.662310328117244,4.810404356832834
19,calibration,0.25,both,0.0688715520234982,0.918,0.0,122.36889213688193,122.40980380073518,3.0940440621246057,2.9041936061458737
19,calibration,0.5,both,0.09221030069604058,0.244,0.0,140.23620328215407,140.5024263000851,2.1243399350606404,2.064224019850539
19,calibration,0.75,both,0.12312372564640592,0.002,1.0,158.86621222240407,159.42077552872374,1.5393974118911908,1.5206276420011546
19,calibration,1.0,both,0.18428635021338213,0.002,1.0,180.0,180.0,1.0,1.0
19,power,-1.0,unweighted,0.20736904054260025,0.002,1.0,180.0,180.0,1.0,1.0
19,power,0.0,both,0.06416690803525699,0.942,0.0,97.85635447520615,99.23075464292523,5.662310328117244,4.810404356832834
19,power,0.25,both,0.09020969766920237,0.336,0.0,122.36889213688193,122.40980380073518,3.0940440621246057,2.9041936061458737
19,power,0.5,both,0.11602940630519999,0.008,1.0,140.23620328215407,140.5024263000851,2.1243399350606404,2.064224019850539
19,power,0.75,both,0.1480000310411268,0.002,1.0,158.86621222240407,159.42077552872374,1.5393974118911908,1.5206276420011546
19,power,1.0,both,0.20736904054260025,0.002,1.0,180.0,180.0,1.0,1.0
20,calibration,-1.0,unweighted,0.16457366064624296,0.002,1.0,180.0,180.0,1.0,1.0
20,calibration,0.0,both,0.03375593831951071,1.0,0.0,97.9348120370524,106.00254495308793,4.732201060810615,4.559067533155933
20,calibration,0.25,both,0.05155769648463718,1.0,0.0,123.88872496645067,129.36665549506208,2.847337753213917,2.788313880129235
20,calibration,0.5,both,0.0726317015949447,0.862,0.0,143.13770695408715,145.64197743817573,2.0219511737929747,1.988282402151471
20,calibration,0.75,both,0.102729023026779,0.056,0.0,162.14655901025182,162.2820811137174,1.4900171440670325,1.4758348045427938
20,calibration,1.0,both,0.16457366064624296,0.002,1.0,180.0,180.0,1.0,1.0
