repeat,scenario,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
5,target_only,both,0.0839288873626118,0.572,0.0,176.5319126953543,172.30577772887645,1.32160221455925,1.3937341136610129
5,both_sides,unweighted,0.13637748151958543,0.002,1.0,180.0,180.0,1.0,1.0
5,both_sides,source,0.11281164785847084,0.008,1.0,155.46504348818596,180.0,1.7617348028804667,1.0
5,both_sides,target,0.09620711284257674,0.156,0.0,180.0,157.82091428171978,1.0,1.73822116805739
5,both_sides,both,0.07160161536580176,0.912,0.0,155.46504348818596,157.82091428171978,1.7617348028804667,1.73822116805739
6,source_only,unweighted,0.13255800468678555,0.002,1.0,180.0,180.0,1.0,1.0
6,source_only,source,0.10066528326389064,0.086,0.0,152.49421483650266,180.0,1.880272720821841,1.0
6,source_only,target,0.11094743703420643,0.012,1.0,180.0,166.0975039789549,1.0,1.7919003462003746
6,source_only,both,0.07966334760293962,0.744,0.0,152.49421483650266,166.0975039789549,1.880272720821841,1.7919003462003746
6,target_only,unweighted,0.1565295076969974,0.002,1.0,180.0,180.0,1.0,1.0
6,target_only,source,0.14099485579159932,0.002,1.0,164.28285062589433,180.0,2.0383886267783797,1.0
6,target_only,target,0.1066423359359749,0.028,1.0,180.0,151.77702568308092,1.0,1.9187154706561593
6,target_only,both,0.09020141061951013,0.316,0.0,164.28285062589433,151.77702568308092,2.0383886267783797,1.9187154706561593
6,both_sides,unweighted,0.18006393842402074,0.002,1.0,180.0,180.0,1.0,1.0
6,both_sides,source,0.14863376431855893,0.002,1.0,137.8937958522822,180.0,2.227290392264885,1.0
6,both_sides,target,0.1163593111005948,0.004,1.0,180.0,135.2671355156224,1.0,2.287621656607176
6,both_sides,both,0.07828082906808836,0.708,0.0,137.8937958522822,135.2671355156224,2.227290392264885,2.287621656607176
7,source_only,unweighted,0.10366959971803079,0.024,1.0,180.0,180.0,1.0,1.0
7,source_only,source,0.0850273835278935,0.466,0.0,168.1073842691575,180.0,1.4684797843893733,1.0
7,source_only,target,0.09102024670251907,0.256,0.0,180.0,174.45927127847025,1.0,1.4775194466691837
7,source_only,both,0.07308796100109206,0.89,0.0,168.1073842691575,174.45927127847025,1.4684797843893733,1.4775194466691837
7,target_only,unweighted,0.13602486949397957,0.002,1.0,180.0,180.0,1.0,1.0
7,target_only,source,0.1253683863264438,0.002,1.0,173.16984355280718,180.0,1.4560988712833562,1.0
7,target_only,target,0.09958183411518196,0.08,0.0,180.0,162.94127825912392,1.0,1.6755003560956383
7,target_only,both,0.08883883700068279,0.334,0.0,173.16984355280718,162.94127825912392,1.4560988712833562,1.6755003560956383
7,both_sides,unweighted,0.15873748475842098,0.002,1.0,180.0,180.0,1.0,1.0
7,both_sides,source,0.13559590112931125,0.002,1.0,153.0143869956754,180.0,1.776288903261254,1.0
7,both_sides,target,0.1109777331746361,0.012,1.0,180.0,150.21450312890295,1.0,1.9496496896618318
7,both_sides,both,0.08607048175647429,0.486,0.0,153.0143869956754,150.21450312890295,1.776288903261254,1.9496496896618318
8,source_only,unweighted,0.10473287608596252,0.032,1.0,180.0,180.0,1.0,1.0
8,source_only,source,0.07965619219613501,0.696,0.0,165.35716180220922,180.0,1.5941524532175442,1.0
8,source_only,target,0.09228205483544658,0.242,0.0,180.0,173.83374904635946,1.0,1.6005881363222212
8,source_only,both,0.06803609577097164,0.962,0.0,165.35716180220922,173.83374904635946,1.5941524532175442,1.6005881363222212
8,target_only,unweighted,0.11980171753543667,0.002,1.0,180.0,180.0,1.0,1.0
8,target_only,source,0.11381505367202115,0.008,1.0,176.61890188076296,180.0,1.344590433496379,1.0
8,target_only,target,0.09661910246016757,0.128,0.0,180.0,172.9339330420619,1.0,1.4999818266129774
8,target_only,both,0.09059269334119159,0.254,0.0,176.61890188076296,172.9339330420619,1.344590433496379,1.4999818266129774
8,both_sides,unweighted,0.13704934461210183,0.002,1.0,180.0,180.0,1.0,1.0
