repeat,effect_size,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
5,0.6,crump,0.15733087086572167,0.005,1.0,180.0,180.0,1.0,1.0
5,0.6,overlap,0.15870530746033318,0.005,1.0,179.52302619978246,177.94789964735602,0.24999997645985683,0.2499999868991457
6,0.0,unweighted,0.07248269413961286,0.885,0.0,180.0,180.0,1.0,1.0
6,0.0,source,0.06041107735495788,1.0,0.0,173.74961033104617,180.0,1.4399905781453264,1.0
6,0.0,target,0.0594013582984503,1.0,0.0,180.0,165.1239123162674,1.0,1.5989066362719428
6,0.0,both,0.04881304595325882,1.0,0.0,173.74961033104617,165.1239123162674,1.4399905781453264,1.5989066362719428
6,0.0,crump,0.07248269413961286,0.885,0.0,180.0,180.0,1.0,1.0
6,0.0,overlap,0.0700490392219126,0.93,0.0,179.52053138237082,178.19072711459938,0.24999996837547486,0.2499999830761133
6,0.15,unweighted,0.08559341087486663,0.47,0.0,180.0,180.0,1.0,1.0
6,0.15,source,0.072160782363937,0.895,0.0,173.74961033104617,180.0,1.4399905781453264,1.0
6,0.15,target,0.07312745247800724,0.865,0.0,180.0,165.1239123162674,1.0,1.5989066362719428
6,0.15,both,0.06094337690442059,1.0,0.0,173.74961033104617,165.1239123162674,1.4399905781453264,1.5989066362719428
6,0.15,crump,0.08559341087486663,0.47,0.0,180.0,180.0,1.0,1.0
6,0.15,overlap,0.0840127932254919,0.545,0.0,179.52053138237082,178.19072711459938,0.24999996837547486,0.2499999830761133
6,0.3,unweighted,0.10007495332266422,0.065,0.0,180.0,180.0,1.0,1.0
6,0.3,source,0.08560391725594295,0.48,0.0,173.74961033104617,180.0,1.4399905781453264,1.0
6,0.3,target,0.08853047754806709,0.35,0.0,180.0,165.1239123162674,1.0,1.5989066362719428
6,0.3,both,0.07503201485531732,0.82,0.0,173.74961033104617,165.1239123162674,1.4399905781453264,1.5989066362719428
6,0.3,crump,0.10007495332266422,0.065,0.0,180.0,180.0,1.0,1.0
6,0.3,overlap,0.09943229634510123,0.09,0.0,179.52053138237082,178.19072711459938,0.24999996837547486,0.2499999830761133
6,0.45,unweighted,0.11686676002133821,0.005,1.0,180.0,180.0,1.0,1.0
6,0.45,source,0.10107883586438807,0.065,0.0,173.74961033104617,180.0,1.4399905781453264,1.0
6,0.45,target,0.10687864178136229,0.03,1.0,180.0,165.1239123162674,1.0,1.5989066362719428
6,0.45,both,0.09177947841252837,0.28,0.0,173.74961033104617,165.1239123162674,1.4399905781453264,1.5989066362719428
6,0.45,crump,0.11686676002133821,0.005,1.0,180.0,180.0,1.0,1.0
6,0.45,overlap,0.11701726097945733,0.005,1.0,179.52053138237082,178.19072711459938,0.24999996837547486,0.2499999830761133
6,0.6,unweighted,0.13456903577960677,0.005,1.0,180.0,180.0,1.0,1.0
